Nr	Sent	score	fi	punc	adv	itj	other	blocked
102	Du bist wohl noch sehr müde?«	3	1	1	3	0	0	true
103	Friedrich reichte ihm den Bogen, gab durch eine stolze Kopfbewegung seinen Willen zu erkennen und trat zu den Tanzenden.	0	0	0	0	0	0	false
104	Friedrich stand neben ihr, schon halb entkleidet und horchte auf das Geheul des Windes und das Klappen der Bodenfenster.	3	1	0	1	0	0	false
105	– »Sehr müde,« versetzte Johannes; »und,« er deutete auf seine Stirn, »meine Gedanken sind zuweilen so kurios, ich kann nicht recht sagen, wie es so ist.«	4	0	0	4	0	0	true
106	Du mußt mir das alles noch ausführlicher erzählen; heute ging es etwas konfus durcheinander.	5	1	0	3	0	0	true
107	Hatte sie doch selbst vor vierzig Jahren ein Schwesterchen verloren, das genau dem fremden Hechelkrämer glich.	2	0	0	2	0	0	false
108	Johannes!« rief er gebieterisch, und heran trat sein Schützling von dem Tanzplatze, wo er auch seine ungelenken Beine zu schlenkern und eins zu jauchzen versucht hatte.	1	0	1	1	0	0	true
109	Gegen zehn Uhr schürte sie die Asche am Herde zusammen und machte sich zum Schlafengehen bereit.	0	0	0	0	0	0	false
110	Der beliebte Tanz ward gespielt und Friedrich machte Sätze vor den Augen seiner Herrschaft, daß die Kühe an der Tenne die Hörner zurückzogen und Kettengeklirr und Gebrumm an ihren Ständern herlief.	0	0	0	0	0	0	false
111	– »Nein, Kind, morgen.«	1	2	0	1	0	0	true
112	Jetzt geh.	3	1	0	1	0	0	false
113	Der Knabe war seitdem wieverwandelt, das träumerische Wesen gänzlich von ihm gewichen, er trat fest auf, fing an, sein Äußeres zu beachten und bald in den Ruf eines hübschen, gewandten Burschen zu kommen.	1	0	0	1	0	0	false
114	Von dieser Zeit an war Friedrich selten mehr zu Hause.	1	0	0	1	0	0	false
115	»Nun lustig, Musikanten: den Papen van Istrup!« –	1	0	1	1	0	0	true
116	»Mutter, kommt der Vater heute nicht?« fragte er.	1	1	1	1	0	0	true
117	Simon schien alle wärmern Gefühle, deren er fähig war, dem Schwestersohn zugewendet zu haben; wenigstens vermißte er ihn sehr und ließ nicht nach mit Botschaften, wenn ein häusliches Geschäft ihn auf einige Zeit bei der Mutter hielt.	3	0	0	3	0	0	false
118	– »Ich weiß schon,« sagte der Baron, »von alter Zeit her.	1	1	0	1	0	0	true
119	»Jetzt ist es gut!« sagte er endlich und trat schweißtriefend an den Kredenztisch; »die gnädigen Herrschaften sollen leben und alle die hochadeligen Prinzen und Prinzessinnen, und wer's nicht mittrinkt, den will ich an die Ohren schlagen, daß er die Engel singen hört!« –	2	1	2	2	0	0	true
120	er hat's doch versprochen.«	1	0	0	1	0	0	true
121	Herr von S. hatte das innigste Mitleiden mit dem armen Schelm; bis zum folgenden Tage war überlegt worden, wo man ihn einmieten könne; essen sollte er täglich im Schlosse, und für Kleidung fand sich auch wohl Rat.	4	1	0	2	0	0	false
122	Margreth hatte bisher ihren Sohn nur geliebt, jetzt fing sie an, stolz auf ihn zu werden und sogar eine Art Hochachtung vor ihm zu fühlen, da sie den jungen Menschen so ganz ohne ihr Zutun sich entwickeln sah, sogar ohne ihren Rat, den sie, wie die meisten Menschen, für unschätzbar hielt und deshalb die Fähigkeiten nicht hoch genug anzuschlagen wußte, die eines so kostbaren Förderungsmittels entbehren konnten.	11	1	0	9	0	0	false
123	Ein lautes Vivat beantwortete den galanten Toast.	0	0	0	0	0	0	false
124	Fußhoch über die andern tauchte sein blonder Kopf auf und nieder, wie ein Hecht, der sich im Wasser überschlägt; an allen Enden schrien Mädchen auf, denen er zum Zeichen der Huldigung mit einer raschen Kopfbewegung sein langes Flachshaar ins Gesicht schleuderte.	0	0	0	0	0	0	false
125	– »Aber warum nicht, Mutter?	2	0	1	0	0	0	true
126	Sein Ohm, der nicht wohl ohne Projekte leben konnte, unternahm mitunter ziemlich bedeutende öffentliche Arbeiten, z.B. beim Wegbau, wobei Friedrich für einen seiner besten Arbeiter und überall als seine rechte Hand galt; denn obgleich dessen Körperkräfte noch nicht ihr volles Maß erreicht hatten, kam ihm doch nicht leicht jemand an Ausdauer gleich.	10	1	0	8	0	0	false
127	Hülsmeyers behalten dich wohl noch die Nacht über, morgen komm wieder.«	4	2	0	4	0	0	true
128	Herr von S. schüttelte mitleidig den Kopf:	0	0	0	0	0	0	false
129	Indessen war der Mitgenuß des Ruhms auch so ziemlich der einzige Vorteil, den Margreth aus diesen günstigen Umständen zog, da Friedrich immer mehr auf sein Äußeres verwandte und allmählich anfing, es schwer zu verdauen, wenn Geldmangel ihn zwang, irgend jemand im Dorf darin nachzustehen.	7	0	0	7	0	0	false
130	– »Nichts für ungut, gnädige Herrschaften; wir sind nur ungelehrte Bauersleute!«	1	0	1	1	0	0	true
131	Sie hatten sich kaum niedergelegt, so erhob sich eine Windsbraut, als ob sie das Haus mitnehmen wollte.	2	0	0	2	0	0	false
132	– »Ach Gott, wenn der alles hielte, was er verspricht!	5	0	1	0	1	0	true
133	In seinem achtzehnten Jahre hatte Friedrich sich bereits einen bedeutenden Ruf in der jungen Dorfwelt gesichert, durch den Ausgang einer Wette, infolge deren er einen erlegten Eber über zwei Meilen weit auf seinem Rücken trug, ohne abzusetzen.	1	0	0	1	0	0	false
134	»Herr,« sagte Johannes, »ich kann auch noch wohl etwas tun; ich kann hölzerne Löffel machen, und Ihr könnt mich auch als Boten schicken.«	4	1	0	4	0	0	true
135	– Friedrich machte seinen Bückling.	0	0	0	0	0	0	true
136	Mach, mach voran, daß du fertig wirst.«	0	0	0	0	0	0	true
137	So gewöhnte man sich daran, ihn bald geputzt und fröhlich als anerkannten Dorfelegant an der Spitze des jungen Volks zu sehen, bald wieder als zerlumpten Hirtenbuben einsam und träumerisch hinter den Kühen herschleichend, oder in einer Waldlichtung liegend, scheinbar gedankenlos und das Moos von den Bäumen rupfend.	4	0	0	4	0	0	false
138	»Butterdieb, Butterdieb!« riefen ein paar Kinder, und heran drängte sich, oder vielmehr ward geschoben, Johannes Niemand, den Kopf zwischen die Schultern ziehend und mit aller Macht nach dem Ausgange strebend.	1	0	1	1	0	0	true
139	– »Mutter – es pocht draußen!«	1	0	1	1	0	0	true
140	Um diese Zeit wurden die schlummernden Gesetze doch einigermaßen aufgerüttelt durch eine Bande von Holzfrevlern, die unter dem Namen der Blaukittel alle ihre Vorgänger so weit an List und Frechheit übertraf, daß es dem Langmütigsten zuviel werden mußte.	3	0	0	3	0	0	false
141	– »Nun,« sagte der Baron zweifelnd, »willst du's versuchen?	3	0	1	1	0	0	true
142	Zudem waren alle seine Kräfte auf den auswärtigen Erwerb gerichtet; zu Hause schien ihm, ganz im Widerspiel mit seinem sonstigen Rufe, jede anhaltende Beschäftigung lästig, und er unterzog sich lieber einer harten, aber kurzen Anstrengung, die ihm bald erlaubte, seinem frühern Hirtenamte wieder nachzugehen, was bereits begann, seinem Alter unpassend zu werden, und ihm gelegentlichen Spott zuzog, vor dem er sich aber durch ein paar derbe Zurechtweisungen mit der Faust Ruhe verschaffte.	7	0	0	7	0	0	false
143	»Das würde doch nicht sonderlich ausfallen.«	1	0	0	1	0	1	true
144	In diesem Augenblick erhob sich ein Getümmel am Ende der Tenne, Geschrei, Schelten, Gelächter, alles durcheinander.	0	0	0	0	0	0	false
145	Die Bettstatt bebte und im Schornstein rasselte es wie ein Kobold.	0	0	0	0	0	0	false
146	– »O doch Herr, wenn ich erst im Gange bin – es geht nicht schnell, aber hin komme ich doch, und es wird mir auch nicht so sauer, wie man denken sollte.«	5	0	0	5	0	0	true
147	Was habt ihr mit unserem Johannes?« rief Friedrich gebieterisch.	0	0	1	0	0	0	true
148	– »Nein, Mutter, an der Tür!«	0	1	1	0	0	0	true
149	Ihre Benennung erhielten sie von der ganz gleichförmigen Tracht, durch die sie das Erkennen erschwerten, wenn etwa ein Förster noch einzelne Nachzügler im Dickicht verschwinden sah.	5	1	0	3	0	0	false
150	Es hat keine sonderliche Eile.«	0	0	0	0	0	0	true
151	– »Was ist's?	2	0	1	0	0	0	true
152	– »Still, Fritzchen, das ist das lockere Brett im Giebel, das der Wind jagt.«	0	0	0	0	0	0	true
153	Hier ist ein Brief nach P.	3	1	0	1	0	0	false
154	Ganz gegen den gewöhnlichen Stand der Dinge, wo man die stärksten Böcke der Herde mit dem Finger bezeichnen konnte, war es hier trotz aller Wachsamkeit bisher nicht möglich gewesen, auch nur ein Individuum namhaft zu machen.	7	1	0	5	0	0	false
155	Gott, schlaf doch!	3	0	1	1	0	0	false
156	In der Bande mußten sehr gewandte Spione sein, denn die Förster konnten wochenlang umsonst wachen; in der ersten Nacht, gleichviel, ob stürmisch oder mondhell, wo sie vor Übermüdung nachließen, brach die Zerstörung ein.	2	0	0	2	0	0	false
157	Er schnitzelte Löffel, aß auf dem Schlosse und machte Botengänge für den gnädigen Herrn.	0	0	0	0	0	0	false
158	Johannes, der arme Teufel, dem zu Hause das Schlechteste gut genug sein mußte, hatte versucht, sich ein halbes Pfündchen Butter für die kommende Dürre zu sichern, und ohne daran zu denken, daß er es, sauber in sein Schnupftuch gewickelt, in der Tasche geborgen, war er ans Küchenfeuer getreten und nun rann das Fett schmählich die Rockschöße entlang.	2	0	0	2	0	0	false
159	Bring mich nicht um das armselige bißchen Nachtruhe.«	0	0	0	0	0	0	true
160	»Das sollt Ihr früh genug gewahr werden,« keuchte ein altes Weib mit der Küchenschürze und einem Wischhader in der Hand.	1	0	0	1	0	0	true
161	– »Sie schließt nicht; die Klinke ist zerbrochen.	0	0	0	0	0	0	true
162	Am folgenden Tage bezog Johannes sein Kämmerchen bei einer Witwe im Dorfe.	0	0	0	0	0	0	false
163	Sie verheerten alles wie die Wanderraupe, ganze Waldstrecken wurden in einer Nacht gefällt und auf der Stelle fortgeschafft, so daß man am andern Morgen nichts fand, als Späne und wüste Haufen von Topholz, und der Umstand, daß nie Wagenspuren einem Dorfe zuführten, sondern immer vom Flusse her und dorthin zurück, bewies, daß man unter dem Schutz und vielleicht mit dem Beistande der Schiffeigentümer handelte.	5	0	0	5	0	0	false
164	– Schande!	2	0	1	0	0	0	true
165	Von einigen Dörfern ward mit Bestimmtheit gesagt, daß sie nicht zu den Blaukitteln gehörten, aber keines konnte als dringend verdächtig bezeichnet werden, seit man das verdächtigste von allen, das Dorf B., freisprechen mußte.	0	0	0	0	0	0	false
166	– »Der Johannes könnte viel erzählen,« sagte er zu seiner Frau, »wenn er nicht so grundeinfältig wäre.«	1	0	0	1	0	0	true
167	Andere machten Platz,sowohl aus Mitleid als Vorsicht.	0	0	0	0	0	0	false
168	Die Mutter drehte sich heftig im Bett um.	0	0	0	0	0	0	false
169	– »Mehr tiefsinnig als einfältig,« versetzte sie; »ich fürchte immer, er schnappt noch über.«	3	0	0	3	0	0	true
170	Im ganzen ging's ihm leidlich; die Herrschaft war sehr gütig, und Herr von S. unterhielt sich oft lange mit ihm über die Türkei, den österreichischen Dienst und die See.	3	0	0	3	0	0	false
171	Seltsam war es, daß das Landvolk umher ebenso unwissend und gespannt schien, als die Förster selber.	2	0	0	2	0	0	false
172	Allgemeiner Aufruhr; die Mädchen sprangen zurück, aus Furcht, sich zu beschmutzen, oder stießen den Delinquenten vorwärts.	0	0	0	0	0	0	false
173	– »Aber wenn nun der Vater kommt?« –	1	0	1	1	0	0	true
174	»Lumpenhund!« rief er; ein paar derbe Maulschellen trafen den geduldigen Schützling; dann stieß er ihn an die Tür und gab ihm einen tüchtigen Fußtritt mit auf den Weg.	1	0	1	1	0	0	true
175	– »Wo ist der Teufel, Mutter?«	0	0	1	0	0	0	true
176	Nach einiger Zeit blieb Johannes auf einem Botengange über Gebühr lange aus.	1	0	0	1	0	0	false
177	Dennoch war der Erfolg nur gering und die Wächter hatten oft kaum das eine Ende des Forstes verlassen, wenn die Blaukittel schon zum andern einzogen.	7	1	0	5	0	0	false
178	Ein Zufall hatte dies bewirkt, eine Hochzeit, auf der fast alle Bewohner dieses Dorfes notorisch die Nacht zugebracht hatten, während zu eben dieser Zeit die Blaukittel eine ihrer stärksten Expeditionen ausführten.	4	1	0	2	0	0	false
179	Aber Friedrich trat vor:	0	0	0	0	0	0	false
180	– »Den hält der Teufel fest genug!«	1	0	1	1	0	0	true
181	Der Schaden in den Forsten war indes allzu groß, deshalb wurden die Maßregeln dagegen auf eine bisher unerhörte Weise gesteigert; Tag und Nacht wurde patrolliert, Ackerknechte, Hausbediente mit Gewehren versehen und den Forstbeamten zugesellt.	2	0	0	2	0	0	false
182	– »Ei bewahre!« antwortete der Baron, »er war sein Leben lang ein Simpel; simple Leute werden nie verrückt.«	1	0	1	1	0	0	true
